from_vtd10,district,weight
120010001,6,1.0000000000
120010002,6,1.0000000000
120010003,9,1.0000000000
120010004,6,0.3489583333
120010004,9,0.6510416667
120010005,9,1.0000000000
120010006,6,0.4410080520
120010006,9,0.5589919480
120010007,6,1.0000000000
120010008,6,1.0000000000
120010009,6,1.0000000000
120010010,9,1.0000000000
120010011,9,1.0000000000
120010012,9,1.0000000000
120010013,9,1.0000000000
120010014,6,1.0000000000
120010015,6,1.0000000000
120010016,6,1.0000000000
120010017,6,0.6304347826
120010017,9,0.3695652174
120010018,9,1.0000000000
120010019,6,0.0384615385
120010019,9,0.9615384615
120010020,9,1.0000000000
120010021,9,1.0000000000
120010022,9,1.0000000000
120010023,6,0.0357142857
120010023,9,0.9642857143
120010024,9,1.0000000000
120010025,9,1.0000000000
120010026,6,0.6541902372
120010026,9,0.3458097628
120010027,9,1.0000000000
120010028,6,1.0000000000
120010029,6,1.0000000000
120010030,6,0.0604468479
120010030,9,0.9395531521
120010031,6,0.0022326915
120010031,9,0.9977673085
120010032,9,1.0000000000
120010033,9,1.0000000000
120010034,6,1.0000000000
120010035,6,1.0000000000
120010036,9,1.0000000000
120010037,6,0.1125541126
120010037,9,0.8874458874
120010038,6,1.0000000000
120010039,6,1.0000000000
120010040,6,1.0000000000
120010041,6,1.0000000000
120010042,6,1.0000000000
120010043,6,1.0000000000
120010044,6,1.0000000000
120010045,6,1.0000000000
120010046,6,0.6666666667
120010046,9,0.3333333333
120010047,6,1.0000000000
120010048,6,1.0000000000
120010049,6,1.0000000000
120010050,6,1.0000000000
120010051,6,1.0000000000
120010052,6,1.0000000000
120010053,6,1.0000000000
120010054,6,1.0000000000
120010055,6,1.0000000000
120010056,6,1.0000000000
120010057,6,1.0000000000
120010058,6,1.0000000000
120010059,6,1.0000000000
120010060,6,0.9718309859
120010060,9,0.0281690141
120010061,6,0.0341164261
120010061,9,0.9658835739
120010062,6,0.2230503886
120010062,9,0.7769496114
120010063,9,1.0000000000
120010064,9,1.0000000000
120010065,6,1.0000000000
120010066,6,1.0000000000
120010067,6,1.0000000000
120010068,9,1.0000000000
120010069,6,1.0000000000
120010070,9,1.0000000000
120010071,6,1.0000000000
120030001,6,1.0000000000
120030002,6,1.0000000000
120030003,6,1.0000000000
120030004,6,1.0000000000
120030005,6,1.0000000000
120030006,6,1.0000000000
