from_vtd10,to_vtd20,weight
120050030,12005000022,0.0092592593
120050030,12005000023,0.6111111111
120050031,12005000017,0.1397058824
120050031,12005000021,0.5661764706
120050031,12005000027,0.2941176471
120050032,12005000027,1.0000000000
120050033,12005000023,1.0000000000
120050034,12005000022,0.1600000000
120050034,12005000024,0.8400000000
120050035,12005000025,0.9268292683
120050035,12005000028,0.0731707317
120050036,12005000026,1.0000000000
120050037,12005000028,1.0000000000
120050038,12005000029,1.0000000000
120050039,12005000029,0.2500000000
120050039,12005000030,0.7291666667
120050039,12005000033,0.0208333333
120050040,12005000030,0.1086956522
120050040,12005000033,0.2608695652
120050040,12005000037,0.6086956522
120050040,12005000038,0.0217391304
120050041,12005000037,0.0615384615
120050041,12005000038,0.6769230769
120050041,12005000039,0.2615384615
120050042,12005000031,1.0000000000
120050043,12005000031,1.0000000000
120050044,12005000032,1.0000000000
120050045,12005000032,0.2400000000
120050045,12005000033,0.7600000000
120050046,12005000033,0.4387755102
120050046,12005000036,0.0918367347
120050046,12005000037,0.4693877551
120050047,12005000037,1.0000000000
120050048,12005000037,0.0294117647
120050048,12005000038,0.7058823529
120050048,12005000041,0.2647058824
120050049,12005000039,0.7692307692
120050049,12005000041,0.1648351648
120050049,12005000043,0.0659340659
120050050,12005000040,0.2424242424
120050050,12005000041,0.7575757576
120050051,12005000040,1.0000000000
120050052,12005000036,0.8333333333
120050052,12005000037,0.1594202899
120050052,12005000040,0.0072463768
120050053,12005000035,1.0000000000
120050054,12005000034,1.0000000000
120050055,12005000042,0.9834254144
120050055,12005000043,0.0165745856
120050056,12005000042,0.0263157895
120050056,12005000043,0.9736842105
120050057,12005000039,1.0000000000
120050058,12005000042,0.0301501480
120050058,12005000044,0.9698498520
120070001,12007000001,1.0000000000
120070002,12007000002,1.0000000000
120070003,12007000001,0.1250000000
120070003,12007000003,0.8750000000
120070004,12007000004,1.0000000000
120070005,12007000004,0.0138888889
120070005,12007000005,0.9861111111
120070006,12007000006,1.0000000000
120070007,12007000007,1.0000000000
120070008,12007000008,1.0000000000
120070009,12007000009,1.0000000000
120070010,12007000010,1.0000000000
120070011,12007000011,1.0000000000
120070012,12007000012,1.0000000000
120070013,12007000013,1.0000000000
120070014,12007000014,1.0000000000
120070015,12007000015,1.0000000000
120070016,12007000016,1.0000000000
120070017,12007000016,0.0285714286
120070017,12007000017,0.9714285714
120070018,12007000018,1.0000000000
120070019,12007000019,1.0000000000
120070020,12007000020,1.0000000000
120090001,12009000100,0.9518699930
120090001,12009000103,0.0046584150
120090001,12009000105,0.0434715921
120090002,12009000100,1.0000000000
120090003,12009000105,1.0000000000
120090004,12009000100,1.0000000000
120090005,12009000112,1.0000000000
120090006,12009000105,0.0155178610
120090006,12009000108,0.9844821390
120090007,12009000102,1.0000000000
120090008,12009000200,0.9871794872
120090008,12009000417,0.0128205128
120090009,12009000400,0.9637549400
