from_vtd10,district,weight
120010001,10,1.0000000000
120010002,10,0.5454545455
120010002,22,0.4545454545
120010003,21,0.2058823529
120010003,22,0.7941176471
120010004,10,0.2617710053
120010004,21,0.7382289947
120010005,21,1.0000000000
120010006,10,0.4410080520
120010006,21,0.5589919480
120010007,10,1.0000000000
120010008,10,1.0000000000
120010009,10,0.9913566619
120010009,21,0.0025827321
120010009,22,0.0060606061
120010010,22,1.0000000000
120010011,22,1.0000000000
120010012,21,0.9800000000
120010012,22,0.0200000000
120010013,21,1.0000000000
120010014,10,0.0952380952
120010014,22,0.9047619048
120010015,22,1.0000000000
120010016,22,1.0000000000
120010017,22,1.0000000000
120010018,22,1.0000000000
120010019,21,1.0000000000
120010020,22,1.0000000000
120010021,22,1.0000000000
120010022,22,1.0000000000
120010023,21,1.0000000000
120010024,21,0.9848484848
120010024,22,0.0151515152
120010025,21,1.0000000000
120010026,21,1.0000000000
120010027,21,1.0000000000
120010028,21,0.9109030781
120010028,22,0.0890969219
120010029,22,1.0000000000
120010030,21,0.8895531521
120010030,22,0.1104468479
120010031,21,0.5000000000
120010031,22,0.5000000000
120010032,21,1.0000000000
120010033,21,0.2686567164
120010033,22,0.7313432836
120010034,10,0.2813787584
120010034,21,0.7186212416
120010035,10,0.3812631771
120010035,21,0.6187368229
120010036,21,1.0000000000
120010037,21,1.0000000000
120010038,10,0.6476123248
120010038,21,0.2647388693
120010038,22,0.0876488059
120010039,10,0.7504350034
120010039,22,0.2495649966
120010040,21,0.1122718053
120010040,22,0.8877281947
120010041,22,1.0000000000
120010042,22,1.0000000000
120010043,22,1.0000000000
120010044,22,1.0000000000
120010045,22,1.0000000000
120010046,21,0.6821705426
120010046,22,0.3178294574
120010047,22,1.0000000000
120010048,22,1.0000000000
120010049,21,1.0000000000
120010050,21,1.0000000000
120010051,21,0.6300461709
120010051,22,0.3699538291
120010052,21,0.0576923077
120010052,22,0.9423076923
120010053,22,1.0000000000
120010054,21,0.6578947368
120010054,22,0.3421052632
120010055,21,1.0000000000
120010056,21,1.0000000000
120010057,21,0.8378378378
120010057,22,0.1621621622
120010058,21,0.9636363636
120010058,22,0.0363636364
120010059,22,1.0000000000
120010060,21,1.0000000000
120010061,21,0.6445355311
120010061,22,0.3554644689
120010062,21,0.8297872340
120010062,22,0.1702127660
120010063,21,1.0000000000
120010064,21,1.0000000000
120010065,10,1.0000000000
120010066,10,0.9589552239
120010066,22,0.0410447761
120010067,10,1.0000000000
120010068,21,1.0000000000
120010069,10,0.0176678445
120010069,22,0.9823321555
120010070,22,1.0000000000
120010071,10,1.0000000000
120030001,10,1.0000000000
120030002,10,1.0000000000
120030003,10,1.0000000000
120030004,10,1.0000000000
120030005,10,1.0000000000
120030006,10,1.0000000000
120030007,10,1.0000000000
120030008,10,1.0000000000
120030009,10,1.0000000000
120050001,6,1.0000000000
120050002,6,1.0000000000
120050003,6,1.0000000000
120050004,6,1.0000000000
120050005,6,1.0000000000
120050006,6,1.0000000000
120050007,6,1.0000000000
120050008,6,1.0000000000
120050009,6,1.0000000000
120050010,6,1.0000000000
120050011,6,1.0000000000
120050012,6,1.0000000000
120050013,6,1.0000000000
120050014,6,1.0000000000
120050015,6,1.0000000000
120050016,6,1.0000000000
120050017,6,1.0000000000
120050018,6,1.0000000000
120050019,6,1.0000000000
120050020,6,1.0000000000
120050021,6,1.0000000000
120050022,6,1.0000000000
120050023,6,1.0000000000
120050024,6,1.0000000000
120050025,6,1.0000000000
120050026,6,1.0000000000
120050027,6,1.0000000000
120050028,6,1.0000000000
120050029,6,1.0000000000
120050030,6,1.0000000000
120050031,6,1.0000000000
120050032,6,1.0000000000
120050033,6,1.0000000000
120050034,6,1.0000000000
120050035,6,1.0000000000
120050036,6,1.0000000000
120050037,6,1.0000000000
120050038,6,1.0000000000
120050039,6,1.0000000000
120050040,6,1.0000000000
120050041,6,1.0000000000
120050042,6,1.0000000000
