statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
12,001,12001,Alachua County,221307
12,003,12003,Baker County,21395
12,005,12005,Bay County,139657
12,007,12007,Bradford County,21945
12,009,12009,Brevard County,501004
12,011,12011,Broward County,1315339
12,013,12013,Calhoun County,10546
12,015,12015,Charlotte County,170854
12,017,12017,Citrus County,136187
12,019,12019,Clay County,170461
12,021,12021,Collier County,288984
12,023,12023,Columbia County,54589
12,027,12027,DeSoto County,26035
12,029,12029,Dixie County,13844
12,031,12031,Duval County,749242
12,033,12033,Escambia County,249790
12,035,12035,Flagler County,102190
12,037,12037,Franklin County,10348
12,039,12039,Gadsden County,32736
12,041,12041,Gilchrist County,14587
12,043,12043,Glades County,10001
12,045,12045,Gulf County,12558
12,047,12047,Hamilton County,10576
12,049,12049,Hardee County,17517
12,051,12051,Hendry County,25168
12,053,12053,Hernando County,163461
12,055,12055,Highlands County,83061
12,057,12057,Hillsborough County,1066223
12,059,12059,Holmes County,15390
12,061,12061,Indian River County,136841
12,063,12063,Jackson County,38728
12,065,12065,Jefferson County,12328
12,067,12067,Lafayette County,6326
12,069,12069,Lake County,318446
12,071,12071,Lee County,606203
12,073,12073,Leon County,233589
12,075,12075,Levy County,35692
12,077,12077,Liberty County,6014
12,079,12079,Madison County,14525
12,081,12081,Manatee County,326526
12,083,12083,Marion County,310996
12,085,12085,Martin County,128531
12,086,12086,Miami-Dade County,1650109
12,087,12087,Monroe County,62829
12,089,12089,Nassau County,77826
12,091,12091,Okaloosa County,158939
12,093,12093,Okeechobee County,29488
12,095,12095,Orange County,1001253
12,097,12097,Osceola County,276679
12,099,12099,Palm Beach County,1078698
12,101,12101,Pasco County,461501
12,103,12103,Pinellas County,777583
12,105,12105,Polk County,569044
12,107,12107,Putnam County,57252
12,109,12109,St. Johns County,232318
12,111,12111,St. Lucie County,268727
12,113,12113,Santa Rosa County,151995
12,115,12115,Sarasota County,376433
12,117,12117,Seminole County,357775
12,119,12119,Sumter County,130452
12,121,12121,Suwannee County,34578
12,123,12123,Taylor County,16629
12,125,12125,Union County,12047
12,127,12127,Volusia County,460133
12,129,12129,Wakulla County,27602
12,131,12131,Walton County,63112
12,133,12133,Washington County,20168
