district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,768788,53456,715288,557902,98092,1354,16997,691,6506,13405,8105,10979,1288,10746,27985,112729,600610,35770,564807,451346,74137,1065,13730,629,4482,5573,6751,6126,994,8810,19870,80666
2,767100,49113,718037,502891,174577,1555,11112,470,2908,11670,6597,5234,978,9131,16337,187281,615360,34428,580963,415423,138217,1380,9317,432,2153,4404,5704,3066,833,7916,12369,143492
3,766981,86230,680731,517068,119422,893,17183,430,2343,10854,6662,4426,1508,9032,21599,131741,618631,63825,554812,432215,91708,716,13947,291,1607,5137,5416,2671,1184,7290,16617,97958
4,775051,69031,706057,420933,238216,861,16879,709,4383,13126,4180,5492,1433,6448,22365,252729,593462,46454,547064,342275,174615,627,13421,511,2245,5931,3266,3136,1120,4985,16544,181602
5,772096,86961,685113,524801,91920,419,37409,499,4258,10914,3713,10156,871,5031,47567,103753,602580,61080,541469,425128,70564,357,28445,403,2370,4825,2933,5726,641,3959,34180,76095
6,788086,93442,694694,574196,86933,881,10287,607,1722,10406,4866,3943,755,6534,14243,98163,646313,64216,582115,493359,66303,806,8284,481,1371,4591,4104,2260,455,5390,10531,71437
7,753070,156142,596888,480564,71197,866,23500,378,2477,9554,3484,4568,354,4702,28073,81085,602620,116901,485687,401094,54582,745,17821,207,1610,4199,2790,2476,189,3726,20302,58950
8,777442,91512,685895,573646,70259,1084,14900,480,3440,11479,4036,6303,260,5380,21205,82000,639185,66235,572944,490623,53577,934,12373,401,2081,5741,3353,3584,268,4555,15958,59588
9,708147,358819,349433,231004,75853,339,25051,705,3566,6340,2291,3947,224,2856,29000,82611,540739,262393,278418,191099,56120,288,20646,558,1975,2986,1898,2528,207,2393,23177,59375
10,695635,195817,499829,268922,179334,620,31352,465,3877,6726,2201,5139,1178,3998,36485,187241,551099,147609,403483,232500,131128,625,26014,400,2443,4028,1825,3429,1082,3531,29435,136242
11,766921,142446,624439,477411,97202,747,27418,612,3222,9071,3567,4673,692,5006,32086,106905,611064,99145,511914,404607,73659,599,21134,461,1593,3931,2866,2772,416,3880,23921,77966
12,791342,112084,679245,605702,36142,1093,13329,542,3216,9871,4361,4279,686,6136,17610,46703,640654,79564,561029,507811,28410,855,10372,386,2171,4310,3633,2423,649,5135,12793,33337
13,736312,77446,658876,561863,52524,727,23493,450,1640,9488,3243,4599,887,4857,28105,62883,621802,55703,566122,494502,39674,639,19349,330,1062,4439,2771,2626,812,4222,21977,44894
14,714126,170091,544094,367968,125337,547,23499,715,3181,11771,3044,6522,1456,5043,29999,138593,573804,129661,444187,313459,95829,518,18911,599,1855,5794,2486,3553,1071,4068,22456,102741
15,748742,184657,564071,401442,107607,676,30141,484,3522,11337,3248,5015,566,4503,35147,119488,579656,127616,452089,334517,80515,661,22293,408,2188,5064,2759,3207,483,3915,25513,86072
16,775514,147993,627460,487161,95447,613,18152,515,3422,12993,3581,5145,434,4624,23311,108877,606286,95752,510471,411382,70581,489,14113,311,1834,5463,2830,3094,393,3710,17212,76440
17,779297,98544,680708,610980,42006,716,11413,340,1687,6274,3443,3753,175,4334,15169,48456,659064,68191,590865,539117,31852,619,9577,311,1272,3151,2977,1834,169,3770,11418,35165
18,765178,200012,565124,436379,99450,1551,9502,168,2202,8214,4076,2877,728,6352,12384,108247,594843,131657,463116,368633,74916,1344,7589,192,1573,3371,3243,1590,677,5265,9171,78942
19,739014,118666,620361,545950,46682,465,11614,316,1606,6778,2880,3503,436,3780,15114,53909,624875,81987,542862,489825,33233,429,9771,309,1189,3460,2344,1981,280,3048,11743,36983
20,674742,147614,526876,147489,343798,703,17072,264,3735,8508,1564,2175,1809,4097,19195,354092,508454,107000,401336,127784,247251,498,14008,260,2379,5181,1371,1321,1362,3246,15269,253771
21,759397,124779,634612,503325,97461,652,14423,444,2631,7811,2938,3984,969,4558,18404,106249,616388,86227,530147,433984,72833,601,11820,300,1674,3828,2325,2103,710,3636,13922,77353
22,679909,159783,520152,373754,113670,439,17660,302,2331,6744,1879,2833,488,2808,20509,120927,545670,111500,434185,330151,80835,355,14081,276,1634,3246,1558,1648,375,2287,15745,84507
23,688926,141256,547780,408810,96269,796,21816,326,3272,8832,2194,4973,309,3277,26827,105408,554977,109019,445973,346556,69517,650,17316,271,2178,4475,1713,2953,304,2653,20317,74296
24,636950,218583,418400,117464,282557,649,8924,109,1599,3974,627,1958,636,1911,10882,287160,482504,168475,314125,88999,210531,539,7708,105,1185,2653,525,1367,593,1656,9074,213775
