district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,423806,73.65,14.55,5.32,0.19,2.14,0.1,0.64
2,District 2,424373,78.39,10.16,5.89,0.27,1.87,0.08,0.67
3,District 3,431599,62.73,26.84,6.21,0.16,1.47,0.06,0.28
4,District 4,424046,70.35,12.71,9.51,0.09,4.57,0.11,0.47
5,District 5,402971,45.28,39.87,8.58,0.1,3.04,0.06,0.43
6,District 6,423037,72.4,13.36,8.86,0.07,2.41,0.07,0.36
7,District 7,458581,80.74,7.2,7.85,0.07,2.15,0.02,0.15
8,District 8,448091,72.75,10.14,13.69,0.18,1.49,0.05,0.15
9,District 9,439849,69.86,13.08,12.65,0.11,2.08,0.05,0.24
10,District 10,409840,62.19,11.03,20.7,0.09,3.92,0.04,0.33
11,District 11,475700,84.08,4.01,8.75,0.18,1.12,0.05,0.3
12,District 12,424850,56.82,14.54,24.91,0.11,1.64,0.06,0.24
13,District 13,419648,69.41,9.41,15.4,0.09,3.8,0.09,0.23
14,District 14,394081,56.87,7.42,29.04,0.1,4.13,0.07,0.3
15,District 15,356976,35.08,36.92,21.64,0.13,3.95,0.13,0.41
16,District 16,393370,44.12,30.95,19.82,0.08,2.15,0.09,0.43
17,District 17,397959,46.5,9.36,36.55,0.07,4.98,0.07,0.4
18,District 18,442352,78.59,5.69,9.28,0.13,4.18,0.07,0.19
19,District 19,446235,75.43,8.71,10.89,0.09,2.25,0.07,0.42
20,District 20,423939,70.82,10.2,14.48,0.08,2.26,0.05,0.31
21,District 21,431532,81.32,4.55,10.35,0.06,1.89,0.06,0.18
22,District 22,455196,84.73,3.77,8.1,0.11,1.79,0.05,0.13
23,District 23,422672,61.69,11.14,20.7,0.1,3.85,0.09,0.44
24,District 24,354208,45.45,25.37,25.0,0.09,2.23,0.06,0.31
25,District 25,370016,32.68,10.56,51.11,0.05,3.71,0.11,0.43
26,District 26,418456,67.12,14.47,13.99,0.06,2.55,0.02,0.36
27,District 27,437860,73.97,8.04,14.76,0.1,1.37,0.04,0.28
28,District 28,410754,69.35,6.86,20.88,0.17,1.31,0.05,0.18
29,District 29,435605,69.74,12.53,14.25,0.28,1.39,0.02,0.21
30,District 30,368890,51.29,20.72,22.23,0.1,3.5,0.02,0.5
31,District 31,430330,71.5,9.71,14.79,0.07,2.13,0.07,0.26
32,District 32,364505,28.57,44.21,21.74,0.08,3.14,0.07,0.48
33,District 33,430927,77.2,5.66,14.08,0.06,1.5,0.03,0.19
34,District 34,332569,12.61,51.03,33.52,0.12,1.38,0.02,0.22
35,District 35,366919,30.6,20.47,41.68,0.18,5.07,0.02,0.53
36,District 36,315708,17.25,4.97,74.76,0.13,1.8,0.03,0.2
37,District 37,365822,53.42,14.22,28.31,0.14,1.92,0.16,0.34
38,District 38,355296,20.99,12.29,63.01,0.05,2.01,0.03,0.49
39,District 39,303418,5.61,4.25,88.74,0.06,0.87,0.04,0.18
40,District 40,352634,22.56,6.84,68.0,0.12,1.48,0.06,0.19
