district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,768788,53456,715288,557902,98092,1354,16997,691,6506,13405,8105,10979,1288,10746,27985,112729,600610,35770,564807,451346,74137,1065,13730,629,4482,5573,6751,6126,994,8810,19870,80666
2,767100,49113,718037,502891,174577,1555,11112,470,2908,11670,6597,5234,978,9131,16337,187281,615360,34428,580963,415423,138217,1380,9317,432,2153,4404,5704,3066,833,7916,12369,143492
3,766981,86230,680731,517068,119422,893,17183,430,2343,10854,6662,4426,1508,9032,21599,131741,618631,63825,554812,432215,91708,716,13947,291,1607,5137,5416,2671,1184,7290,16617,97958
4,775051,69031,706057,420933,238216,861,16879,709,4383,13126,4180,5492,1433,6448,22365,252729,593462,46454,547064,342275,174615,627,13421,511,2245,5931,3266,3136,1120,4985,16544,181602
5,772096,86961,685113,524801,91920,419,37409,499,4258,10914,3713,10156,871,5031,47567,103753,602580,61080,541469,425128,70564,357,28445,403,2370,4825,2933,5726,641,3959,34180,76095
6,788086,93442,694694,574196,86933,881,10287,607,1722,10406,4866,3943,755,6534,14243,98163,646313,64216,582115,493359,66303,806,8284,481,1371,4591,4104,2260,455,5390,10531,71437
7,753070,156142,596888,480564,71197,866,23500,378,2477,9554,3484,4568,354,4702,28073,81085,602620,116901,485687,401094,54582,745,17821,207,1610,4199,2790,2476,189,3726,20302,58950
8,764397,118635,645741,522855,73685,754,20712,639,4549,10853,4216,6979,386,5347,27689,84925,623595,88959,534631,441914,57952,666,17547,570,2708,5430,3419,3936,394,4466,21484,63777
9,741688,277549,464256,360072,66495,1320,18806,292,3107,7236,3091,3524,282,4692,22350,74023,580936,196973,384072,306392,50893,1135,15137,253,1627,3553,2595,2177,282,4015,17335,54733
10,692810,206916,485927,247028,192202,605,27389,539,3458,7004,2111,4342,1239,3989,31750,200479,541310,152365,388964,214978,138255,589,22810,394,2072,3950,1685,3127,1080,3396,25948,143323
11,744404,149983,594362,463012,80668,708,30410,532,2856,7616,3294,4778,584,4567,35165,88829,599670,107650,491972,394315,62858,550,23381,431,1517,3080,2767,2817,373,3667,26195,66270
12,742160,181046,561116,446262,68559,680,22819,444,2622,10491,2901,5508,860,4441,28339,79860,585290,131966,453309,370221,52279,618,17177,437,1681,4530,2426,3346,689,3734,20530,57463
13,738811,82913,655920,560234,47843,674,25374,527,1678,10229,3412,4993,967,5056,30359,59038,616763,59602,557180,487189,36313,551,20594,389,1038,4661,2793,2837,822,4168,23430,41806
14,751092,188862,562172,411785,102118,472,20987,582,4176,12144,3429,6217,358,4262,27195,114663,574067,128438,445605,337664,76416,373,16229,464,2271,5546,2780,3526,322,3473,19755,82306
15,773802,134520,639321,485388,102435,1229,23949,614,4575,11161,4031,4499,1293,6550,28445,114905,621778,98778,523026,410807,77456,1000,17972,431,2894,5259,3388,2668,1060,5449,20633,83789
16,762267,103790,658478,537260,84600,574,14649,537,2103,10493,3848,3936,522,4946,18591,95604,630166,68836,561344,470201,65221,568,12399,354,1475,5135,3255,2274,501,4322,14666,70849
17,763533,87564,676020,590757,56177,756,11765,324,2003,6377,3497,4147,295,4553,15911,62842,647058,60069,587041,525510,40881,651,9862,294,1445,3131,2868,2154,290,3813,12023,44304
18,782494,220894,561513,410496,116517,615,12554,440,2389,10638,3458,3783,620,4680,16319,127783,601900,151515,450268,343442,84115,597,10213,338,1696,4437,2721,2137,535,3840,12333,89101
19,741684,144605,597058,536729,35193,440,10882,249,1310,5829,2559,3382,432,3428,14252,41447,618450,98492,519934,476065,26271,407,9107,248,794,2881,2162,1740,223,2792,10851,29359
20,669172,151122,517720,189728,291210,682,18041,232,4294,8626,1673,2201,1196,3534,20252,301004,517981,115295,402426,165653,209426,455,15048,246,2939,5070,1335,1530,886,2673,16588,215366
21,753688,124373,629283,496277,98847,652,14443,449,2459,8053,3082,4011,966,4683,18468,107851,610542,85195,525320,427453,74239,605,11831,311,1608,4060,2435,2030,713,3747,13869,78998
22,702187,205408,496762,350055,100220,1311,26110,361,2897,8808,2048,4436,532,3891,30541,109575,532623,143728,388873,287250,70232,1061,19412,316,1888,4397,1602,2284,457,3119,21688,75112
23,669028,158879,510104,310623,168500,571,15186,293,2498,7456,1758,2244,878,3229,17439,176838,535375,110420,424940,281638,120799,450,12712,260,1671,3777,1457,1416,699,2618,14128,125272
24,648999,236849,412131,79338,314575,612,8071,117,2015,4790,610,1448,688,1915,9510,320060,490485,177528,312995,63937,234851,499,6942,112,1418,3284,552,910,637,1693,7830,238770
