district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,138896,67.93,20.62,4.42,0.3,2.45,0.07,0.77
2,District 2,142101,72.28,15.51,5.77,0.14,2.27,0.16,0.61
3,District 3,142987,82.03,6.57,5.55,0.13,1.62,0.03,0.57
4,District 4,136632,74.47,9.71,8.12,0.17,3.18,0.17,1.1
5,District 5,147899,79.63,12.13,4.27,0.41,0.76,0.05,0.43
6,District 6,139664,79.42,9.64,5.62,0.22,1.85,0.08,0.48
7,District 7,145384,77.5,13.91,4.92,0.35,0.4,0.09,0.31
8,District 8,138591,38.12,50.8,6.78,0.09,1.35,0.04,0.29
9,District 9,147624,71.28,17.07,6.95,0.05,2.62,0.06,0.25
10,District 10,139115,75.19,15.01,5.88,0.05,0.74,0.04,0.31
11,District 11,138199,70.82,12.64,10.86,0.09,2.87,0.09,0.49
12,District 12,134918,62.09,19.05,11.43,0.1,3.98,0.02,0.51
13,District 13,136393,41.18,48.36,6.19,0.06,2.02,0.13,0.32
14,District 14,130145,38.84,46.32,9.07,0.11,2.11,0.04,0.51
15,District 15,148738,70.18,18.38,7.03,0.13,1.95,0.06,0.29
16,District 16,134303,70.38,10.72,9.52,0.09,6.34,0.05,0.53
17,District 17,142520,64.12,14.67,11.2,0.07,6.54,0.21,0.57
18,District 18,149667,81.44,4.68,8.02,0.0,3.6,0.01,0.1
19,District 19,154877,79.78,8.01,8.65,0.07,1.74,0.01,0.18
20,District 20,142705,80.49,9.49,6.71,0.15,0.74,0.05,0.16
21,District 21,136107,54.1,28.11,11.84,0.18,2.52,0.04,0.48
22,District 22,152686,74.39,8.26,10.35,0.07,4.57,0.01,0.2
23,District 23,155379,87.27,2.34,6.77,0.16,1.16,0.04,0.65
24,District 24,148773,71.56,9.66,15.47,0.04,1.65,0.11,0.09
25,District 25,144970,62.58,11.31,21.04,0.08,3.18,0.02,0.25
26,District 26,147832,76.56,10.55,9.72,0.15,1.14,0.2,0.15
27,District 27,151036,77.12,5.32,14.2,0.12,1.57,0.0,0.16
28,District 28,154385,73.01,16.39,6.49,0.13,1.81,0.08,0.25
29,District 29,138002,61.23,9.54,26.34,0.08,1.26,0.08,0.15
30,District 30,152130,86.31,4.9,5.76,0.27,1.01,0.04,0.14
31,District 31,149738,81.31,6.53,8.03,0.16,1.87,0.07,0.25
32,District 32,148513,79.87,6.23,8.97,0.06,2.44,0.09,0.37
33,District 33,148795,63.91,14.14,15.83,0.08,2.6,0.02,0.64
34,District 34,154484,80.78,6.03,9.85,0.23,1.21,0.04,0.08
35,District 35,133819,48.98,10.44,32.16,0.02,5.46,0.07,0.58
36,District 36,133193,57.61,15.3,20.67,0.09,4.23,0.06,0.54
37,District 37,134293,56.76,9.39,26.11,0.23,4.89,0.09,0.27
38,District 38,136458,60.19,11.12,23.53,0.06,3.0,0.06,0.32
39,District 39,128598,56.81,17.59,20.23,0.09,3.08,0.09,0.29
40,District 40,127653,30.06,47.6,16.38,0.02,3.79,0.23,0.41
41,District 41,99008,22.67,43.41,25.88,0.3,5.21,0.02,0.6
